MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Vilémov,Děčín,Vilémově,"50.99061656,14.33543234"
Bílence,Chomutov,Bílencích,"50.42464636,13.50598856"
Staříč,Frýdek-Místek,Staříči,"49.68592867,18.27284404"
Zašová,Vsetín,Zašové,"49.47408988,18.04438693"
Plesná,Cheb,Plesné,"50.22082573,12.34677298"
Oldřiš,Svitavy,Oldřiši,"49.72716284,16.19375125"
Senožaty,Pelhřimov,Senožatech,"49.56912606,15.19804948"
Město Libavá,Olomouc,Městě Libavé; Městu Libavé,"49.72162453,17.52016953"
Luboměř pod Strážnou,Přerov,Luboměři pod Strážnou,"49.68905343,17.66390256"
Domoraz,Klatovy,Domorazi; Domorazu,"49.25071990,13.66202897"
Horní Police,Česká Lípa,Horní Polici,"50.70419012,14.40410164"
Kojetín,Havlíčkův Brod,Kojetíně,"49.65716074,15.65812509"
Bezděz,Česká Lípa,Bezděze; Bezdězi; Bezdězu,"50.53370785,14.72207122"
Málkov,Chomutov,Málkově,"50.44626985,13.33347172"
Jedlová,Svitavy,Jedlové,"49.66103715,16.30612365"
Tetín,Beroun,Tetíně,"49.94939958,14.10231267"
Halámky,Jindřichův Hradec,Halámkách,"48.85320569,14.91512582"
Kostelní Lhota,Nymburk,Kostelní Lhotě,"50.12932782,15.02427359"
Kostomlaty nad Labem,Nymburk,Kostomlatech nad Labem,"50.18454943,14.95405366"
Široký Důl,Svitavy,Širokém Dole,"49.74607429,16.22080896"
Vidlatá Seč,Svitavy,Vidlaté Seči,"49.83607463,16.20525887"
Kakejcov,Rokycany,Kakejcově,"49.66702411,13.62422715"
Bílá Třemešná,Trutnov,Bílé Třemešné,"50.44469401,15.74110214"
Čermná,Trutnov,Čermné,"50.55002751,15.76971725"
Doloplazy,Olomouc,Doloplazech,"49.56718493,17.41150764"
Bernartice nad Odrou,Nový Jičín,Bernarticích nad Odrou,"49.61010320,17.94780983"
Číhošť,Havlíčkův Brod,Číhošti,"49.74180742,15.33512508"
Heřmánky,Nový Jičín,Heřmánkách,"49.70696918,17.76834538"
Ženklava,Nový Jičín,Ženklavě,"49.56356427,18.10721844"
Lipová,Děčín,Lipové,"51.01111448,14.36034257"
Bohatice,Česká Lípa,Bohaticích,"50.66899843,14.67941957"
Desná,Jablonec nad Nisou,Desné,"50.75992316,15.30294743"
Karlín,Hodonín,Karlíně,"48.97579529,16.97730215"
Kojetice,Třebíč,Kojeticích,"49.15786970,15.81805510"
Domašov u Šternberka,Olomouc,Domašově u Šternberka,"49.70579603,17.33793493"
Svésedlice,Olomouc,Svésedlicích,"49.57248835,17.38117922"
Petroupim,Benešov,Petroupimi,"49.80832267,14.75264659"
Podsedice,Litoměřice,Podsedicích,"50.47207013,13.94837809"
Rasošky,Náchod,Rasoškách,"50.32195331,15.91174947"
Makov,Svitavy,Makově,"49.85503929,16.19118140"
Skalka,Prostějov,Skalce,"49.40309972,17.16983313"
Hudlice,Beroun,Hudlicích,"49.96105038,13.97069849"
Milešov,Příbram,Milešově,"49.58931523,14.22144793"
Ctiboř,Tachov,Ctiboři,"49.82733721,12.61006477"
Vernířovice,Šumperk,Vernířovicích,"50.03170116,17.13038858"
Skorkov,Havlíčkův Brod,Skorkově,"49.50842062,15.47565462"
Úherce,Louny,Úhercích,"50.29814232,13.94906746"
Újezd pod Troskami,Jičín,Újezdě pod Troskami; Újezdu pod Troskami,"50.50658531,15.26264083"
Nezamyslice,Prostějov,Nezamyslicích,"49.32544030,17.17327917"
Dřevnovice,Prostějov,Dřevnovicích,"49.32810151,17.14327815"
Dolní Branná,Trutnov,Dolní Branné,"50.59321220,15.59391436"
Valeč,Třebíč,Valči,"49.14434466,16.03570133"
Hvožďany,Příbram,Hvožďanech,"49.52833942,13.80515019"
Dolní Krupá,Havlíčkův Brod,Dolní Krupé,"49.66068270,15.60307983"
Dolní Krupá,Mladá Boleslav,Dolní Krupé,"50.54638128,14.86725849"
Čimelice,Písek,Čimelicích,"49.46566095,14.06925955"
Zvíkovec,Rokycany,Zvíkovci,"49.95417025,13.68860238"
Pec pod Sněžkou,Trutnov,Peci pod Sněžkou,"50.69349430,15.73324772"
Samšina,Jičín,Samšině,"50.45938733,15.23500373"
Sobotka,Jičín,Sobotce,"50.46747169,15.17628286"
Stará Paka,Jičín,Staré Pace,"50.51037360,15.49453612"
Vysoké Veselí,Jičín,Vysokém Veselí,"50.33100722,15.43639737"
Zámostí-Blata,Jičín,Zámostí-Blatech,"50.47091532,15.25378868"
Dalečín,Žďár nad Sázavou,Dalečíně,"49.59130535,16.24011864"
Chotilsko,Příbram,Chotilsku,"49.77056166,14.35253222"
Bernardov,Kutná Hora,Bernardově,"50.01418394,15.39862702"
Klučenice,Příbram,Klučenicích,"49.55321074,14.21206664"
Nová Ves,Plzeň-jih,Nové Vsi,"49.68606117,13.29272975"
Slavětín,Louny,Slavětíně,"50.35069494,13.90779443"
Sovínky,Mladá Boleslav,Sovínkách,"50.37314035,14.78716049"
Světice,Praha-východ,Světicích,"49.97014700,14.66586829"
Štěpkov,Třebíč,Štěpkově,"49.08406380,15.65021211"
Troubsko,Brno-venkov,Troubsku,"49.16953780,16.51079604"
Týček,Rokycany,Týčku,"49.86933280,13.79437243"
Dlouhé,Žďár nad Sázavou,Dlouhém,"49.50901836,16.12307736"
Drhovle,Písek,Drhovli,"49.33378444,14.04069697"
Drhovice,Tábor,Drhovicích,"49.43288542,14.55841111"
Březské,Žďár nad Sázavou,Březském,"49.32995336,16.23819080"
Čisovice,Praha-západ,Čisovicích,"49.86345515,14.31483452"
Nasavrky,Tábor,Nasavrkách; Nasavrcích,"49.45202321,14.64059487"
Kozárovice,Příbram,Kozárovicích,"49.55560693,14.10652349"
Karlova Ves,Rakovník,Karlově Vsi,"49.98736926,13.86246594"
Lažiště,Prachatice,Lažišti; Lažištích,"49.03764455,13.92772224"
Horní Krupá,Havlíčkův Brod,Horní Krupé,"49.67204289,15.58852977"
Horní Radslavice,Žďár nad Sázavou,Horních Radslavicích,"49.33828210,15.90228526"
Chleny,Rychnov nad Kněžnou,Chlenech,"50.07791156,16.24380708"
Herálec,Havlíčkův Brod,Herálci,"49.53088649,15.45711711"
Úmonín,Kutná Hora,Úmoníně,"49.88873174,15.27144930"
Křenovy,Domažlice,Křenovech,"49.53926035,13.02155048"
Řásná,Jihlava,Řásné,"49.22107974,15.39129983"
Řisuty,Kladno,Řisutech,"50.21657229,14.00505703"
Dobřichovice,Praha-západ,Dobřichovicích,"49.92757266,14.27475687"
Pozlovice,Zlín,Pozlovicích,"49.12921347,17.76926149"
Jíloviště,Praha-západ,Jílovišti,"49.92760060,14.34279845"
Bystřice,Frýdek-Místek,Bystřici,"49.63654746,18.72040986"
Sobotín,Šumperk,Sobotíně,"50.01171337,17.09081067"
Chocomyšl,Domažlice,Chocomyšli,"49.46728063,13.13069983"
Chotusice,Kutná Hora,Chotusicích,"49.94919426,15.39434105"
Přehvozdí,Kolín,Přehvozdí,"50.02747235,14.84003361"
Zahnašovice,Kroměříž,Zahnašovicích,"49.30455601,17.56010489"
Zdounky,Kroměříž,Zdounkách,"49.22771941,17.31900284"
Skřipel,Beroun,Skřipli,"49.84206826,14.06708207"
Rájec,Šumperk,Rájci,"49.85649776,16.90301401"
Pustá Polom,Opava,Pusté Polomi,"49.84916595,17.99794530"
Semanín,Ústí nad Orlicí,Semaníně,"49.86933431,16.45297425"
Kyselka,Karlovy Vary,Kyselce,"50.25892031,13.00036073"
Štědrá,Karlovy Vary,Štědré,"50.05831013,13.11423752"
Velichov,Karlovy Vary,Velichově,"50.28417797,13.00979493"
Šardice,Hodonín,Šardicích,"48.96404691,17.02811670"
Uhřice,Hodonín,Uhřicích,"49.05036772,16.94758168"
Velká nad Veličkou,Hodonín,Velké nad Veličkou,"48.88257520,17.52059227"
Žádovice,Hodonín,Žádovicích,"49.01337728,17.19692769"
Želetice,Hodonín,Želeticích,"49.01425202,17.00811923"
Bílé Podolí,Kutná Hora,Bílém Podolí,"49.95653684,15.49108333"
Ledčice,Mělník,Ledčicích,"50.34102548,14.29455282"
Jinočany,Praha-západ,Jinočanech,"50.03283293,14.26874942"
Malé Kyšice,Kladno,Malých Kyšicích,"50.06117230,14.09038175"
Zlaté Hory,Jeseník,Zlatých Horách,"50.26380315,17.39609065"
Bílý Kámen,Jihlava,Bílém Kameni; Bílém Kamenu,"49.43629422,15.50886483"
Trstěnice,Znojmo,Trstěnici; Trstěnicích,"48.98679908,16.19542431"
Tetov,Pardubice,Tetově,"50.08053725,15.44570083"
Hostišová,Zlín,Hostišové,"49.25368561,17.59105911"
Vlachovice,Zlín,Vlachovicích,"49.12376908,17.94002054"
Jenčice,Litoměřice,Jenčicích,"50.48302383,14.00446910"
Rosovice,Příbram,Rosovicích,"49.75673314,14.10902480"
Rtyně v Podkrkonoší,Trutnov,Rtyni v Podkrkonoší,"50.50526642,16.07195835"
Rudník,Trutnov,Rudníku,"50.57849336,15.73740067"
Kunětice,Pardubice,Kuněticích,"50.07067749,15.82698227"
Mělnické Vtelno,Mělník,Mělnickém Vtelně,"50.35237953,14.69519573"
Slavětín,Olomouc,Slavětíně,"49.67457858,16.96357096"
Smrček,Chrudim,Smrčku,"49.86845992,15.89333154"
Strukov,Olomouc,Strukově,"49.73335168,17.17553361"
Strážné,Trutnov,Strážném,"50.66861740,15.61799612"
Věžnice,Jihlava,Věžnici,"49.40686405,15.75891937"
Břest,Kroměříž,Břestu; Břestě,"49.35107484,17.44073846"
Vápenice,Uherské Hradiště,Vápenicích,"48.96780856,17.84120485"
Jiříkov,Bruntál,Jiříkově,"49.85393998,17.27759559"
Čižice,Plzeň-jih,Čižicích,"49.64803565,13.39793142"
Blažkov,Žďár nad Sázavou,Blažkově,"49.47310980,16.18519494"
Žalkovice,Kroměříž,Žalkovicích,"49.37191236,17.43595645"
Štítina,Opava,Štítině,"49.91486076,18.01250291"
Dolní Chvatliny,Kolín,Dolních Chvatlinách,"49.98056213,15.06934830"
Pěnčín,Jablonec nad Nisou,Pěnčíně,"50.68774541,15.23603402"
Křižínkov,Brno-venkov,Křižínkově,"49.32580409,16.27028105"
Ocmanice,Třebíč,Ocmanicích,"49.23318195,16.12531462"
Batňovice,Trutnov,Batňovicích,"50.51763080,16.03672682"
Horní Studénky,Šumperk,Horních Studénkách,"49.95265898,16.81189574"
Chotýčany,České Budějovice,Chotýčanech,"49.06736608,14.52060353"
Oldřichov,Tábor,Oldřichově,"49.55879482,14.75430010"
Planá nad Lužnicí,Tábor,Plané nad Lužnicí,"49.35450919,14.70150282"
Olšovec,Přerov,Olšovci,"49.59011341,17.71720270"
Přehořov,Tábor,Přehořově,"49.24766630,14.75625475"
Dolní Těšice,Přerov,Dolních Těšicích,"49.49536501,17.80682778"
Bochov,Karlovy Vary,Bochově,"50.15100521,13.04524454"
Nezamyslice,Klatovy,Nezamyslicích,"49.26249531,13.67495054"
Rádlo,Jablonec nad Nisou,Rádle,"50.69850896,15.11585509"
Dolní Slivno,Mladá Boleslav,Dolním Slivně; Dolním Slivnu,"50.30884796,14.73281841"
Brzánky,Litoměřice,Brzánkách,"50.46191488,14.30127877"
Komárov,Olomouc,Komárově,"49.76407971,17.24099068"
Nová Ves,Louny,Nové Vsi,"50.28594155,13.84276179"
Vrbičany,Litoměřice,Vrbičanech,"50.46268304,14.08476443"
Víska,Havlíčkův Brod,Vísce,"49.77035959,15.65261280"
Dolní Novosedly,Písek,Dolních Novosedlech; Dolních Novosedlích,"49.32920321,14.19601815"
Poštovice,Kladno,Poštovicích,"50.31277088,14.13792370"
Cetyně,Příbram,Cetyni,"49.59970659,14.12139302"
Milostín,Rakovník,Milostíně,"50.19381071,13.66917621"
Skryje,Rakovník,Skryjích,"49.96493842,13.76455753"
Nová Ves,Strakonice,Nové Vsi,"49.18748246,13.73368662"
Bezdružice,Tachov,Bezdružicích,"49.90735306,12.97116814"
Albrechtičky,Nový Jičín,Albrechtičkách,"49.70168206,18.09555697"
Březno,Chomutov,Březně,"50.40195244,13.42127060"
Smilovice,Mladá Boleslav,Smilovicích,"50.30658758,14.96112897"
Libětice,Strakonice,Liběticích,"49.21913447,13.86267670"
Branná,Šumperk,Branné,"50.15320896,17.01153374"
Arnolec,Jihlava,Arnolci,"49.43618086,15.82204792"
Velenice,Nymburk,Velenicích,"50.21441981,15.22644493"
Černýšovice,Tábor,Černýšovicích,"49.32520374,14.52047064"
Drahov,Tábor,Drahově,"49.17543306,14.75419431"
Haškovcova Lhota,Tábor,Haškovcově Lhotě,"49.33256996,14.46665151"
Borovany,České Budějovice,Borovanech,"48.89867523,14.64227240"
Horní Těšice,Přerov,Horních Těšicích,"49.49565826,17.78600515"
Lhota pod Radčem,Rokycany,Lhotě pod Radčem,"49.82745070,13.71076538"
Lipovec,Blansko,Lipovci,"49.38396252,16.80585736"
Lubné,Brno-venkov,Lubném,"49.35420267,16.27523497"
Dalovice,Karlovy Vary,Dalovicích,"50.24789891,12.89589020"
Krnsko,Mladá Boleslav,Krnsku,"50.37247453,14.86313042"
Srnín,Český Krumlov,Srníně,"48.84509264,14.34370692"
Hrabůvka,Přerov,Hrabůvce,"49.57850567,17.69128578"
Roubanina,Blansko,Roubanině,"49.61543627,16.59410063"
Všechlapy,Nymburk,Všechlapech,"50.22114097,15.02848021"
Bašť,Praha-východ,Bašti,"50.20521362,14.47737518"
Kosoř,Praha-západ,Kosoři,"49.98755431,14.32663978"
Čerňovice,Plzeň-sever,Čerňovicích,"49.81300367,13.10373018"
Babice,Olomouc,Babicích,"49.73784079,17.26090277"
Vlkaneč,Kutná Hora,Vlkanči,"49.80643793,15.40317189"
Nelahozeves,Mělník,Nelahozevsi,"50.26155814,14.29889177"
Pec,Domažlice,Peci,"49.39868822,12.83121403"
Třebestovice,Nymburk,Třebestovicích,"50.12466669,14.95832392"
Kolová,Karlovy Vary,Kolové,"50.18754603,12.90341358"
Velký Malahov,Domažlice,Velkém Malahově,"49.62367812,12.95537385"
Zubří,Vsetín,Zubří; Zubřím,"49.46601857,18.09251051"
Naloučany,Třebíč,Naloučanech,"49.23308340,16.13522811"
Katovice,Strakonice,Katovicích,"49.27357649,13.83038066"
Dubovice,Pelhřimov,Dubovicích,"49.43264944,15.17461332"
Velký Osek,Kolín,Velkém Oseku,"50.09872597,15.18635628"
Čučice,Brno-venkov,Čučicích,"49.13711583,16.27859638"
Radvanec,Česká Lípa,Radvanci,"50.75296929,14.59214761"
Dešenice,Klatovy,Dešenicích,"49.27440815,13.17097300"
Kyšice,Kladno,Kyšicích,"50.09126978,14.10630589"
Ctiboř,Benešov,Ctiboři,"49.73673035,14.90424684"
Stochov,Kladno,Stochově,"50.14639229,13.96352592"
Svatobořice-Mistřín,Hodonín,Svatobořicích-Mistříně,"48.98368315,17.09491172"
Svinařov,Kladno,Svinařově,"50.18139181,14.05034440"
Chotětov,Mladá Boleslav,Chotětově,"50.33749905,14.80160046"
Bohdalovice,Český Krumlov,Bohdalovicích,"48.74292001,14.28676373"
Sázava,Benešov,Sázavě,"49.87170848,14.89679472"
Klobuky,Kladno,Klobukách,"50.29409378,13.98756634"
Hlásná Třebaň,Beroun,Hlásné Třebani,"49.92232080,14.19871630"
Štítov,Rokycany,Štítově,"49.66602600,13.67796475"
Klopina,Šumperk,Klopině,"49.81857822,17.01943762"
Tovačov,Přerov,Tovačově,"49.43084374,17.28798111"
Olešná,Beroun,Olešné,"49.78044687,13.81006589"
Oslavice,Žďár nad Sázavou,Oslavici,"49.34081291,15.99072791"
Rokytá,Mladá Boleslav,Rokyté,"50.55000294,14.87835130"
Roudná,Tábor,Roudné,"49.30445480,14.71859455"
Dobromilice,Prostějov,Dobromilicích,"49.35845535,17.14156285"
Trnava,Třebíč,Trnavě,"49.25472652,15.92416425"
Broumy,Beroun,Broumech,"49.95515519,13.85232391"
Havlovice,Trutnov,Havlovicích,"50.48756369,16.02941256"
Srby,Domažlice,Srbech,"49.53697880,12.86836083"
Trnávka,Pardubice,Trnávce,"50.03279544,15.46108440"
Údrnice,Jičín,Údrnicích,"50.37444009,15.26165511"
Skršín,Most,Skršínu; Skršíně,"50.46571341,13.75448715"
Lípa,Zlín,Lípě,"49.21528384,17.76874442"
Rybníček,Vyškov,Rybníčku,"49.27389253,17.07381410"
Doupovské Hradiště,Karlovy Vary,Doupovském Hradišti,"50.22804138,13.01423779"
Drmoul,Cheb,Drmoulu; Drmoule,"49.93907622,12.66556879"
Libá,Cheb,Libé,"50.12828797,12.23090049"
Konice,Prostějov,Konici,"49.59031594,16.88914739"
Chotěnov,Svitavy,Chotěnově,"49.82329241,16.18991874"
Kundratice,Žďár nad Sázavou,Kundraticích,"49.40262157,16.13418544"
Jívka,Trutnov,Jívce,"50.53503313,16.10909787"
Běšiny,Klatovy,Běšinách,"49.30170446,13.31259961"
Býčkovice,Litoměřice,Býčkovicích,"50.55985454,14.21361299"
Čejkovice,České Budějovice,Čejkovicích,"49.01441171,14.38291923"
Černíč,Jihlava,Černíči,"49.12792430,15.45934326"
Bobnice,Nymburk,Bobnicích,"50.21964107,15.05359304"
Jílové,Děčín,Jílovém,"50.76090131,14.10394573"
Trstěnice,Svitavy,Trstěnici; Trstěnicích,"49.79417164,16.34879656"
Bordovice,Nový Jičín,Bordovicích,"49.54687031,18.15264855"
Odřepsy,Nymburk,Odřepsích,"50.14419757,15.18880870"
Písková Lhota,Nymburk,Pískové Lhotě,"50.13138050,15.06583111"
Podmoky,Nymburk,Podmokách,"50.19152045,15.23226072"
Seletice,Nymburk,Seleticích,"50.32040037,15.09707735"
Senice,Nymburk,Senici; Senicích,"50.18428853,15.20764548"
Kuňovice,Benešov,Kuňovicích,"49.65834744,14.99946156"
Obora,Louny,Oboře,"50.37333916,13.86305772"
Hradištko,Nymburk,Hradištku,"50.16555492,14.93512522"
Bohuňov,Žďár nad Sázavou,Bohuňově,"49.56044385,16.20247886"
Černov,Pelhřimov,Černově,"49.34402143,15.31407211"
Český Brod,Kolín,Českém Brodu; Českém Brodě,"50.07426748,14.86088147"
Dobkovice,Děčín,Dobkovicích,"50.71492395,14.19325404"
Dolany,Plzeň-sever,Dolanech,"49.80791499,13.47241346"
Dolní Žandov,Cheb,Dolním Žandově,"50.01806323,12.55107878"
Kestřany,Písek,Kestřanech,"49.26913383,14.07256379"
Kostelec nad Vltavou,Písek,Kostelci nad Vltavou,"49.49996771,14.21179253"
Svépravice,Pelhřimov,Svépravicích,"49.49565082,15.23272461"
Kravaře,Opava,Kravařích,"49.93202449,18.00477222"
Klášterská Lhota,Trutnov,Klášterské Lhotě,"50.55973993,15.66367575"
Mydlovary,České Budějovice,Mydlovarech,"49.09120860,14.35436370"
Harrachov,Semily,Harrachově,"50.77213609,15.43152138"
Chuchelna,Semily,Chuchelně,"50.60234026,15.30044049"
Jablonec nad Jizerou,Semily,Jablonci nad Jizerou,"50.70351948,15.42969476"
Prosetín,Chrudim,Prosetíně,"49.83306238,15.95769944"
Ronov nad Doubravou,Chrudim,Ronově nad Doubravou,"49.88830291,15.53149302"
Malé Výkleky,Pardubice,Malých Výklekách,"50.11938588,15.53858255"
Opatovice nad Labem,Pardubice,Opatovicích nad Labem,"50.14545660,15.79051921"
Biskupice,Svitavy,Biskupicích,"49.64749587,16.75808217"
Mariánské Lázně,Cheb,Mariánských Lázních,"49.96470389,12.70124970"
Svídnice,Chrudim,Svídnici,"49.88995126,15.81375616"
Zahořany,Praha-západ,Zahořanech,"49.84942166,14.29537427"
Trhová Kamenice,Chrudim,Trhové Kamenici,"49.78683810,15.81599516"
Vápenný Podol,Chrudim,Vápenném Podolu; Vápenném Podole,"49.88908031,15.66680173"
Vrbatův Kostelec,Chrudim,Vrbatově Kostelci,"49.85638481,15.94109429"
Chrást,Plzeň-město,Chrástu,"49.79329600,13.49363641"
Janovice v Podještědí,Liberec,Janovicích v Podještědí,"50.76293589,14.82434303"
Okna,Česká Lípa,Oknech,"50.52756090,14.67105284"
Tymákov,Plzeň-město,Tymákově,"49.71916454,13.50987386"
Tatrovice,Sokolov,Tatrovicích,"50.27693765,12.69731332"
Dubné,České Budějovice,Dubném,"48.97627102,14.36038762"
Chvalatice,Znojmo,Chvalaticích,"48.94775687,15.75105960"
Kalek,Chomutov,Kalku,"50.57782900,13.32205648"
Klapý,Litoměřice,Klapém,"50.43151974,14.00656397"
Mokošín,Pardubice,Mokošíně,"50.01486149,15.57200632"
Mutkov,Olomouc,Mutkově,"49.80190755,17.28478177"
Račice,Litoměřice,Račicích,"50.46137151,14.35116387"
Soběsuky,Kroměříž,Soběsukách,"49.23359783,17.35949881"
Valtrovice,Znojmo,Valtrovicích,"48.79376384,16.22096941"
Vráto,České Budějovice,Vrátu; Vrátě,"48.98802702,14.52692696"
Bítouchov,Mladá Boleslav,Bítouchově,"50.47584396,14.88950736"
Březno,Mladá Boleslav,Březně,"50.40625214,15.00556439"
Ctiměřice,Mladá Boleslav,Ctiměřicích,"50.37785133,14.99344444"
Čachovice,Mladá Boleslav,Čachovicích,"50.27553226,14.94600618"
Domousnice,Mladá Boleslav,Domousnicích,"50.39426035,15.10168376"
Horky nad Jizerou,Mladá Boleslav,Horkách nad Jizerou,"50.32712726,14.85614535"
Husí Lhota,Mladá Boleslav,Husí Lhotě,"50.43560592,15.00480224"
Charvatce,Mladá Boleslav,Charvatcích,"50.32268740,14.99869411"
Pomezí nad Ohří,Cheb,Pomezí nad Ohří,"50.08580799,12.28418789"
Předhradí,Chrudim,Předhradí,"49.83166306,16.03840342"
Březina,Rokycany,Březině,"49.80763104,13.59684870"
Babice,Třebíč,Babicích,"49.12428045,15.76886668"
Bečice,České Budějovice,Bečicích,"49.21575611,14.50123743"
Běleč,Tábor,Bělči,"49.54374377,14.83729206"
Veliš,Benešov,Veliši,"49.66862319,14.82318612"
Vracovice,Benešov,Vracovicích,"49.66252488,14.93225859"
Bubovice,Beroun,Bubovicích,"49.96973846,14.16655825"
Felbabka,Beroun,Felbabce,"49.81346933,13.94196013"
Slatina,Kladno,Slatině,"50.22423864,14.22081516"
Stradonice,Kladno,Stradonicích,"50.29144077,14.04700908"
Třebichovice,Kladno,Třebichovicích,"50.19044367,14.07911480"
Třebusice,Kladno,Třebusicích,"50.20085594,14.18071834"
Unhošť,Kladno,Unhošti,"50.08543386,14.13014595"
Nová Ves u Bakova,Mladá Boleslav,Nové Vsi u Bakova,"50.49073758,14.92648119"
Pětikozly,Mladá Boleslav,Pětikozlech,"50.41147603,14.81193292"
Prodašice,Mladá Boleslav,Prodašicích,"50.35002240,15.11674564"
Rabakov,Mladá Boleslav,Rabakově,"50.38570856,15.10162798"
Sedlec,Mladá Boleslav,Sedlci,"50.30080429,14.79580493"
Vlkov pod Oškobrhem,Nymburk,Vlkově pod Oškobrhem,"50.15605275,15.22048699"
Jindřichov,Šumperk,Jindřichově,"50.09580960,16.98496584"
Trnovany,Litoměřice,Trnovanech,"50.54329341,14.17903676"
Budišovice,Opava,Budišovicích,"49.86131219,18.03965960"
Slavošov,Kutná Hora,Slavošově,"49.76223683,15.15201825"
Staňkovice,Kutná Hora,Staňkovicích,"49.87544656,15.01514402"
Starkoč,Kutná Hora,Starkoči,"49.93730346,15.50762167"
Sudějov,Kutná Hora,Sudějově,"49.86075755,15.10389985"
Krásná Hora nad Vltavou,Příbram,Krásné Hoře nad Vltavou,"49.60468694,14.27746282"
Jistebnice,Tábor,Jistebnici,"49.48560498,14.52763648"
Smetanova Lhota,Písek,Smetanově Lhotě,"49.44768814,14.08719713"
Žlutava,Zlín,Žlutavě,"49.19976414,17.49038380"
Úlibice,Jičín,Úlibicích,"50.43408138,15.43738326"
Stanovice,Karlovy Vary,Stanovicích,"50.16521829,12.87402721"
Kostomlátky,Nymburk,Kostomlátkách,"50.17109393,14.98409956"
Lipoltice,Pardubice,Lipolticích,"49.98781905,15.56894630"
Ostředek,Benešov,Ostředku,"49.83485737,14.83235012"
Ovesná Lhota,Havlíčkův Brod,Ovesné Lhotě,"49.72261007,15.38410395"
Všestudy,Chomutov,Všestudech,"50.45745589,13.50768878"
Záboří,České Budějovice,Záboří,"48.99003191,14.26717949"
Nová Ves pod Pleší,Příbram,Nové Vsi pod Pleší,"49.83184099,14.27528634"
Petkovy,Mladá Boleslav,Petkovech,"50.41324517,15.07690624"
Pěčice,Mladá Boleslav,Pěčicích,"50.35121037,15.00407657"
Počaply,Příbram,Počaplech; Počaplích,"49.53875339,13.98349654"
Libějovice,Strakonice,Libějovicích,"49.11441823,14.19337477"
Malý Újezd,Mělník,Malém Újezdě; Malém Újezdu,"50.33253978,14.52966325"
Olbramice,Olomouc,Olbramicích,"49.61350858,17.00150760"
Petrovice,Rakovník,Petrovicích,"50.06735034,13.63924057"
Plešnice,Plzeň-sever,Plešnicích,"49.77408082,13.17679517"
Otín,Jihlava,Otíně,"49.26655037,15.56971523"
Barchov,Pardubice,Barchově,"49.99935832,15.68086819"
Bohumilice,Prachatice,Bohumilicích,"49.09616689,13.81635597"
Cetechovice,Kroměříž,Cetechovicích,"49.17230317,17.26138832"
Čejč,Hodonín,Čejči,"48.94655176,16.96510884"
Dolánky nad Ohří,Litoměřice,Dolánkách nad Ohří,"50.47293247,14.16269916"
Hraběšín,Kutná Hora,Hraběšíně,"49.85257756,15.33186965"
Vodranty,Kutná Hora,Vodrantech,"49.89041962,15.33635846"
Vlachovo Březí,Prachatice,Vlachově Březí,"49.08144064,13.95843309"
Zdobnice,Rychnov nad Kněžnou,Zdobnici,"50.23851057,16.40865319"
Vítkovice,Semily,Vítkovicích,"50.67906304,15.53130345"
Vysoká,Havlíčkův Brod,Vysoké,"49.56232088,15.62222992"
Zábeštní Lhota,Přerov,Zábeštní Lhotě,"49.51187327,17.43114012"
Zdislava,Liberec,Zdislavě,"50.76502614,14.87640266"
Želivsko,Svitavy,Želivsku,"49.64118097,16.57001813"
Malá Víska,Beroun,Malé Vísce,"49.77610437,13.87557134"
Mazelov,České Budějovice,Mazelově,"49.10302346,14.61780003"
Liboměřice,Chrudim,Liboměřicích,"49.87189544,15.74134680"
Prysk,Česká Lípa,Prysku,"50.79605149,14.46782984"
Příbram na Moravě,Brno-venkov,Příbrami na Moravě,"49.19551742,16.29908733"
Stříbrnice,Uherské Hradiště,Stříbrnici; Stříbrnicích,"49.05662202,17.30749073"
Trstěnice,Cheb,Trstěnici; Trstěnicích,"49.91921623,12.67608376"
Hamr,Jindřichův Hradec,Hamru,"48.94947092,14.91343578"
Hlavečník,Pardubice,Hlavečníku,"50.07550767,15.42657918"
Kadolec,Žďár nad Sázavou,Kadolci,"49.37474027,16.14176060"
Kladeruby nad Oslavou,Třebíč,Kladerubech nad Oslavou,"49.14484778,16.17178011"
Kozmice,Benešov,Kozmicích,"49.82484811,14.79613262"
Lány,Havlíčkův Brod,Lánech,"49.75948178,15.71294073"
Žeraviny,Hodonín,Žeravinách,"48.90823917,17.39151336"
Hodonice,Znojmo,Hodonicích,"48.83683957,16.16337144"
Jablonná,Příbram,Jablonné,"49.66112423,14.13848887"
Krompach,Česká Lípa,Krompachu,"50.82813764,14.70162263"
Licibořice,Chrudim,Licibořicích,"49.87694792,15.75997239"
Kamenná Lhota,Havlíčkův Brod,Kamenné Lhotě,"49.64386105,15.27528373"
Lhota u Lysic,Blansko,Lhotě u Lysic,"49.46970776,16.49681066"
Skřinářov,Žďár nad Sázavou,Skřinářově,"49.34708346,16.17202043"
Čížkov,Plzeň-jih,Čížkově,"49.54046691,13.68343103"
Pavlovice,Benešov,Pavlovicích,"49.71517852,14.93316009"
Slověnice,Benešov,Slověnicích,"49.75735213,14.88514017"
Strojetice,Benešov,Strojeticích,"49.65159780,15.06606641"
